Current projects signed as at 31 March 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring authority,Sector,Constituency,Region,Project Status,Date Of OJEU,Date of preferred bidder,Date of financial close,Date of construction completion,First date of operations,Operational period of contract (years),On / Off balance sheet under IFRS,On / Off balance sheet under ESA 95,On / Off balance sheet under UK GAAP,Capital Value (£m),Unitary charge payment 1992-93 (£m),Unitary charge payment 1993-94 (£m),Unitary charge payment 1994-95 (£m),Unitary charge payment 1995-96 (£m),Unitary charge payment 1996-97 (£m),Unitary charge payment 1997-98 (£m),Unitary charge payment 1998-99 (£m),Unitary charge payment 1999-00 (£m),Unitary charge payment 2000-01 (£m),Unitary charge payment 2001-02 (£m),Unitary charge payment 2002-03 (£m),Unitary charge payment 2003-04 (£m),Unitary charge payment 2004-05 (£m),Unitary charge payment 2005-06 (£m),Unitary charge payment 2006-07 (£m),Unitary charge payment 2007-08 (£m),Unitary charge payment 2008-09 (£m),Unitary charge payment 2009-10 (£m),Unitary charge payment 2010-11 (£m),Unitary charge payment 2011-12 (£m),Unitary charge payment 2012-13 (£m),Estimated unitary charge payment 2013-14 (£m),Estimated unitary charge payment 2014-15 (£m),Estimated unitary charge payment 2015-16 (£m),Estimated unitary charge payment 2016-17 (£m),Estimated unitary charge payment 2017-18 (£m),Estimated unitary charge payment 2018-19 (£m),Estimated unitary charge payment 2019-20 (£m),Estimated unitary charge payment 2020-21 (£m),Estimated unitary charge payment 2021-22 (£m),Estimated unitary charge payment 2022-23 (£m),Estimated unitary charge payment 2023-24 (£m),Estimated unitary charge payment 2024-25 (£m),Estimated unitary charge payment 2025-26 (£m),Estimated unitary charge payment 2026-27 (£m),Estimated unitary charge payment 2027-28 (£m),Estimated unitary charge payment 2028-29 (£m),Estimated unitary charge payment 2029-30 (£m),Estimated unitary charge payment 2030-31 (£m),Estimated unitary charge payment 2031-32 (£m),Estimated unitary charge payment 2032-33 (£m),Estimated unitary charge payment 2033-34 (£m),Estimated unitary charge payment 2034-35 (£m),Estimated unitary charge payment 2035-36 (£m),Estimated unitary charge payment 2036-37 (£m),Estimated unitary charge payment 2037-38 (£m),Estimated unitary charge payment 2038-39 (£m),Estimated unitary charge payment 2039-40 (£m),Estimated unitary charge payment 2040-41 (£m),Estimated unitary charge payment 2041-42 (£m),Estimated unitary charge payment 2042-43 (£m),Estimated unitary charge payment 2043-44 (£m),Estimated unitary charge payment 2044-45 (£m),Estimated unitary charge payment 2045-46 (£m),Estimated unitary charge payment 2046-47 (£m),Estimated unitary charge payment 2047-48 (£m),Estimated unitary charge payment 2048-49 (£m),Estimated unitary charge payment 2049-50 (£m),Estimated unitary charge payment 2050-51 (£m),Estimated unitary charge payment 2051-52 (£m),Estimated unitary charge payment 2052-53 (£m),Estimated unitary charge payment 2053-54 (£m),Estimated unitary charge payment 2054-55 (£m),Estimated unitary charge payment 2055-56 (£m),Estimated unitary charge payment 2056-57 (£m),Estimated unitary charge payment 2057-58 (£m),Estimated unitary charge payment 2058-59 (£m),Estimated unitary charge payment 2059-60 (£m),Equity holder 1: Name,Equity holder 1: Equity share (%),"Equity holder 1: change of ownership since March 2011? 
(Yes / No)",Equity holder 2: Name,Equity holder 2: Equity share (%),"Equity holder 2: change of ownership since March 2011? 
(Yes / No)",Equity holder 3: Name,Equity holder 3: Equity share (%),"Equity holder 3: change of ownership since March 2011? 
(Yes / No)",Equity holder 4: Name,Equity holder 4: Equity share (%),"Equity holder 4: change of ownership since March 2011? 
(Yes / No)",Equity holder 5: Name,Equity holder 5: Equity share (%),"Equity holder 5: change of ownership since March 2011? 
(Yes / No)",Equity holder 6: Name,Equity holder 6: Equity share (%),"Equity holder 6: change of ownership since March 2011? 
(Yes / No)",SPV name,SPV company number,SPV address
589,Forfar & Kirriemuir CRC,SCOTTISH GOVERNMENT (GROUP),NHS Tayside,Hospitals and Acute Health,More than one,SCOTLAND,InOperation,1999-04-30,2003-01-09,2003-03-30,2005-03-21,2005-03-21,26,ON,N/K,OFF,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barclays Integrated Infrastructure Fund ,100.0%,NO,,,,,,,,,,,,,,,,Forfar Healthcare Limited,SC243126,"2nd Floor, 11-15 Thistle Street, Edinburgh, EH2 1DF"
590,North Ayrshire Schools,SCOTTISH GOVERNMENT (GROUP),North Ayrshire,Schools (Non-BSF),North Ayrshire & Arran,SCOTLAND,InOperation,2004-04-01,2005-08-18,2006-03-16,2008-04-01,2008-04-01,31,ON,N/K,OFF,83.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,9.8,11.0,10.7,11.5,11.8,12.2,12.4,12.6,12.9,13.1,13.3,13.5,13.8,14.0,14.2,14.5,14.7,15.0,15.2,15.5,15.7,16.0,16.3,16.6,16.8,17.1,17.4,17.7,18.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hochtief PPP Schools Capital Ltd  ,50.0%,NO,Barclays Infrastructure Investment Ltd ,30.0%,NO,Norddeutche Landesbank London,20.0%,NO,,,,,,,,,,PPP Services (North Ayrshire) Ltd.,SC294870,"c/o Infrastructure Managers Ltd, 2nd Floor, 11 Thistle Street, Edinburgh, EH2 1DF"
591,North Lanarkshire Schools,SCOTTISH GOVERNMENT (GROUP),North Lanarkshire,Schools (Non-BSF),More than one,SCOTLAND,InOperation,2002-09-27,2004-06-10,2005-06-08,2008-12-01,2008-12-01,32,ON,N/K,OFF,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.8,11.9,15.2,17.0,17.7,19.0,19.8,20.5,21.1,21.5,22.0,22.5,23.0,23.6,24.1,24.6,25.2,25.8,26.3,26.9,27.5,28.2,28.8,29.4,30.1,30.8,31.5,32.2,32.9,33.7,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balfour Beatty ,50.0%,NO,Balfour Beattie - Innisfree,50.0%,NO,,,,,,,,,,,,,Transform Schools (North Lanarkshire) Ltd,05358414,"8 White Oak Square, London Road, Swanley, Kent, BR8 7AG"
592,Perth & Kinross Office,SCOTTISH GOVERNMENT (GROUP),Perth and Kinross,Offices,Perth & North Perthshire,SCOTLAND,InOperation,1997-10-01,1998-09-01,1999-03-01,2000-09-01,2000-09-01,26,ON,N/K,OFF,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,2.0,2.1,2.2,2.2,2.2,2.8,2.8,2.9,2.9,2.9,3.0,3.3,3.3,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.6,3.7,3.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kinnoull House Holdings Ltd,100.0%,NO,,,,,,,,,,,,,,,,Infrastructure Managers Ltd,N/K,"11, Thistle Street,
Edinburgh
EH2 1DF
"
593,Perth & Kinross Schools,SCOTTISH GOVERNMENT (GROUP),Perth and Kinross,Schools (Non-BSF),More than one,SCOTLAND,InOperation,2003-12-01,2006-04-24,2007-10-04,2011-10-31,2011-10-31,33,ON,N/K,OFF,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,10.3,13.2,14.3,14.7,15.1,15.5,15.8,16.2,16.7,17.1,17.5,17.9,18.4,18.8,19.3,19.8,20.3,20.8,21.3,21.8,22.4,23.0,23.5,24.1,24.7,25.3,26.0,26.6,27.3,28.0,28.7,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABN Amro Infrastructure Capital Management Limited,100.0%,NO,,,,,,,,,,,,,,,,Axiom Education (Perth and Kinross) Llimited ,5527777,4th Floor Kent House 14-17 Market Place London W1W 8AJ
594,Renfrewshire Schools,SCOTTISH GOVERNMENT (GROUP),Renfrewshire,Schools (Non-BSF),More than one,SCOTLAND,InOperation,2002-09-06,2004-01-16,2005-03-22,2008-12-01,2008-12-01,32,ON,N/K,OFF,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,11.0,13.8,14.0,14.2,14.6,14.9,15.1,15.4,15.7,15.9,16.2,16.5,16.7,17.0,17.3,17.6,17.9,18.2,18.5,18.8,19.1,19.4,19.7,20.1,20.4,20.7,21.1,21.4,21.8,22.2,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amey Ventures Investment Limited,35.0%,NO,Uberior Infrastructure Investments (No.3) Limited,35.0%,NO,Infrastructure Investments Holdings Limited,30.0%,NO,,,,,,,,,,"The Renfrewshire Schools Partnership Ltd, ",SC257330,"152 Bath Street, Glasgow, G2 4TB"
595,Scottish Borders Schools ,SCOTTISH GOVERNMENT (GROUP),Scottish Borders,Schools (Non-BSF),"Berwickshire, Roxburgh & Selkirk",SCOTLAND,InOperation,2005-03-30,2006-04-01,2007-01-30,2009-08-01,2009-08-01,31,ON,N/K,OFF,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.8,6.5,7.5,7.8,7.9,8.1,8.4,8.6,8.9,9.1,9.4,9.7,9.9,10.2,10.5,10.8,11.2,11.5,11.8,12.2,12.5,12.9,13.2,13.6,14.0,14.4,14.8,15.3,15.7,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bilfinger Berger BOT ,100.0%,YES,,,,,,,,,,,,,,,,Scottish Borders Educational Partnership,5829432,"c/o Bilfinger Berger Project Investments Ltd. Bush Estate, Penicuik, Midlothian, EH26 0SD"
596,SCRA - Integrated Information System,SCOTTISH GOVERNMENT (GROUP),Scottish Children's Reporter Administration,IT Infrastructure and communications,More than one,SCOTLAND,InOperation,1997-07-01,N/K,1998-06-01,1998-12-31,1998-12-31,16,ON,N/K,OFF,3.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.1,1.3,1.9,2.5,3.0,2.1,2.6,2.7,2.2,2.1,1.1,0.7,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCRA,100.0%,NO,,,,,,,,,,,,,,,,CGI IT UK Ltd ,N/K,"PO Box 174, Bridgend CF31 9AP"
597,M6 DBFO,SCOTTISH GOVERNMENT (GROUP),SCOTTISH GOVERNMENT,Roads and Highway Maintenance,More than one,SCOTLAND,InOperation,1995-06-01,1996-12-01,1997-04-01,1999-04-16,1999-04-16,29,ON,N/K,OFF,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,24.9,25.8,26.1,26.2,24.1,22.8,27.6,33.2,31.6,29.9,32.6,32.3,28.2,29.1,38.5,54.2,52.5,54.4,52.9,41.9,37.2,36.2,16.6,7.9,9.7,8.5,12.5,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree Nominees Ltd,61.0%,NO,Laing Roads Ltd,19.5%,NO,PFI Investors Ltd,19.5%,NO,,,,,,,,,,Autolink Concessionaires (M6) plc,3201364,"Eaton Court Maylands Avenue, Hemel Hempstead Industrial Estate HEMEL HEMPSTEAD HERTFORDSHIRE United Kingdom, HP2 7TR"
598,M77 (* including Glasgow Southern Orbital),SCOTTISH GOVERNMENT (GROUP),East Renfrewshire,Roads and Highway Maintenance,More than one,SCOTLAND,InOperation,2000-10-01,2002-12-10,2003-04-01,2005-05-02,2005-05-02,30,ON,N/K,OFF,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,11.7,12.2,12.4,12.3,12.4,12.7,13.5,13.8,14.1,14.4,14.6,14.9,15.2,15.5,15.9,16.2,16.5,16.8,17.2,17.5,17.9,18.2,18.6,18.9,19.3,19.7,20.1,20.5,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balfour Beatty,85.0%,NO,Infrastructures Investors Ltd ,15.0%,NO,,,,,,,,,,,,,Connect M77/GSO plc,4698798,350 Euston Road LONDON United Kingdom NW1 3AX
599,Addiewell Prison,SCOTTISH GOVERNMENT (GROUP),Scottish Prison Service,Prisons,Livingston,SCOTLAND,InOperation,2004-05-18,2005-08-25,2006-06-26,2008-12-12,2008-12-12,26,ON,N/K,OFF,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,30.0,30.0,29.0,30.0,31.0,32.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,44.0,45.0,46.0,48.0,49.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Interserve PFI 2005 Ltd,33.3%,NO,Royal Bank Project Investments Ltd,33.3%,NO,Sodexo Investment Services Ltd,33.3%,YES,,,,,,,,,,Addiewell Prison Ltd (APL),N/K,N/K
600,Kilmarnock Prison,SCOTTISH GOVERNMENT (GROUP),Scottish Prison Service,Prisons,Kilmarnock & Loudoun,SCOTLAND,InOperation,1996-09-01,1997-08-15,1997-11-11,1999-03-01,1999-03-01,25,ON,N/K,OFF,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,15.0,15.0,16.0,17.0,16.0,16.0,17.0,17.0,14.0,14.0,15.0,15.0,16.0,15.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barclays Integrated Infrastructure Fund Ltd.,100.0%,NO,,,,,,,,,,,,,,,,Kilmarnock Prison Services Ltd (KPSL),N/K,N/K
601,Aberdeen,SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1997-11-01,1999-06-01,2000-05-01,2001-09-01,2001-09-01,29,ON,N/K,OFF,78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,14.5,13.5,14.1,15.4,17.2,20.0,18.2,19.4,18.7,18.7,21.2,21.2,21.5,21.9,22.3,23.1,24.0,24.6,25.2,25.8,26.4,27.0,27.7,28.3,29.0,16.6,17.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kelda Water Services Ltd,100.0%,NO,,,,,,,,,,,,,,,,Aberdeen Environmental Services Limited,SC202555,"Registered Office Nigg WWTP, Coast Road, Nigg, Aberdeen, AB12 3LT"
602,AVSE (Almond Valley Seafield & Esk),SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1996-06-01,1998-04-01,1999-03-01,2001-11-01,2001-11-01,27,ON,N/K,OFF,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,18.3,18.2,18.5,18.7,19.7,20.6,20.4,21.0,23.7,23.5,24.6,25.3,26.0,26.8,27.6,28.4,29.2,30.1,31.0,31.9,32.9,33.9,34.9,36.0,37.1,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia Water UK PLC,100.0%,NO,,,,,,,,,,,,,,,,Stirling Water Seafield Ltd,SC182250,"Registered Office Princes Exchange, 1 Earl Grey Street, Glasgow, EH3 9AQ)"
603,Daldowie,SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1997-01-01,1998-01-01,1999-02-01,1999-03-01,1999-03-01,24,ON,N/K,OFF,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,14.3,15.3,14.3,13.7,14.9,16.3,21.9,17.6,19.6,18.8,20.8,21.4,22.1,22.7,23.4,24.0,24.7,25.4,26.2,26.9,27.7,28.5,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMW Ltd is a wholly owned subsidiary of Scottish Power,100.0%,NO,,,,,,,,,,,,,,,,SMW Ltd,SC165988,"Registered Office 1 Atlantic Quay, Glasgow, G2 8SP"
604,Dalmuir,SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1997-05-01,1998-10-01,1999-03-01,2001-11-01,2001-11-01,25,ON,N/K,OFF,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.9,6.4,6.2,6.5,7.0,7.4,9.8,9.6,9.7,10.1,10.7,10.9,11.0,11.2,11.3,11.2,10.5,10.1,10.0,10.7,10.6,10.4,10.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HPC Nominees Ltd,80.1%,NO,Saur UK Ltd,19.9%,YES,,,,,,,,,,,,,Scotia Water Dalmuir Ltd,3726270,"Registered Office 3 Tenterden Street, London, W1S 1TD"
605,Highland,SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1995-03-01,N/K,1996-12-01,1999-11-01,1999-11-01,23,ON,N/K,OFF,32.7,0.0,0.0,0.0,0.0,0.0,0.0,2.2,7.1,7.4,7.0,7.1,7.0,8.0,7.6,8.3,9.0,9.0,9.3,8.4,9.8,8.9,11.1,11.4,11.7,12.0,12.3,12.6,12.9,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia Water UK PLC,15.0%,NO,Barclays Private Equity,85.0%,NO,,,,,,,,,,,,,Catchment Ltd,SC163035,"Registered Office 2nd Floor, 11 Thistle Street, Edinburgh, EH2 1DF"
606,Levenmouth,SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1997-03-01,N/K,2000-10-01,2000-10-30,2000-10-30,39,ON,N/K,OFF,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,8.7,8.5,8.9,11.2,9.1,11.9,9.8,11.5,12.2,13.3,14.5,14.9,15.3,15.8,16.3,16.8,17.3,17.9,18.4,19.0,19.6,20.2,20.8,21.4,22.1,22.7,23.3,24.0,24.8,25.5,26.2,27.0,27.9,28.7,29.5,30.4,31.3,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northumbrian Services Limited,75.0%,NO,Degremont UK,25.0%,NO,,,,,,,,,,,,,Caledonian Environmental Services plc,SC156608,"Registered Office Methilhaven Road, Methil, Leven, Fife KY8 3WA"
607,Moray,SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1998-12-01,N/K,2001-06-06,2001-09-01,2001-09-01,30,ON,N/K,OFF,60.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.3,10.6,10.9,10.8,8.9,10.0,10.9,11.1,9.8,10.4,11.5,11.6,11.8,11.9,12.1,12.3,12.4,12.6,12.8,13.0,13.2,13.3,13.5,13.7,14.0,14.2,14.4,14.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia Water UK PLC,15.0%,NO,Barclays Private Equity,85.0%,NO,,,,,,,,,,,,,Catchment Moray Ltd,SC206595,"Registered Office 2nd Floor, 11 Thistle Street, Edinburgh, EH2 1DF"
608,Tay,SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1997-03-01,1998-04-01,1999-12-01,2001-12-01,2001-12-01,29,ON,N/K,OFF,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,19.4,18.4,19.6,18.9,15.5,19.5,19.7,20.0,20.4,21.1,21.4,21.9,22.2,22.4,22.7,23.0,23.3,23.6,24.0,24.3,24.6,24.9,25.3,25.6,26.0,26.4,26.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veolia Water UK PLC,15.0%,NO,Barclays Private Equity,51.7%,NO,Henderson Private Capital,33.3%,NO,,,,,,,,,,Catchment Tay Ltd,SC186492,"Registered Office 2nd Floor, 11 Thistle Street, Edinburgh, EH2 1DF"
609,"MSI (Meadowhead, Stevenston, Inverclyde)",SCOTTISH GOVERNMENT (GROUP),SCOTTISH WATER,Waste,More than one,SCOTLAND,InOperation,1998-01-01,N/K,2000-10-11,2002-10-11,2002-10-11,31,ON,N/K,OFF,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,11.2,11.3,11.4,12.9,13.7,14.4,13.2,12.8,14.7,13.9,14.0,14.4,14.6,14.8,15.0,15.2,15.5,15.7,15.9,16.1,16.4,16.6,16.8,17.1,17.4,17.6,17.9,18.2,18.5,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northumbrian Services Limited,75.0%,NO,Semperian PPP Holdings Limited,25.0%,NO,,,,,,,,,,,,,Ayr Environmental Services Limited,SC50201810,"Registered Office Meadowhead Road, Irvine, Ayrshire, Scotland, KA11 5AY"
610,South Ayrshire Schools ,SCOTTISH GOVERNMENT (GROUP),South Ayrshire,Schools (Non-BSF),More than one,SCOTLAND,InOperation,2004-07-22,2005-12-16,2006-12-18,2008-12-01,2008-12-01,33,ON,N/K,OFF,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.8,8.7,9.1,9.5,9.8,10.0,10.1,10.3,10.5,10.7,10.9,11.1,11.3,11.5,11.7,11.9,12.1,12.3,12.6,12.8,13.0,13.3,13.5,13.8,14.0,14.3,14.5,14.8,15.0,15.3,15.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infrastructure Investments General Partner Ltd,100.0%,NO,,,,,,,,,,,,,,,,Education 4 Ayrshire Ltd (E4A),SC300217,"Capella Building, 60 York street, Glasgow, G2 8JX"
611,South Lanarkshire Schools,SCOTTISH GOVERNMENT (GROUP),South Lanarkshire,Schools (Non-BSF),More than one,SCOTLAND,InOperation,2003-06-01,2005-02-01,2006-06-01,2010-01-05,2010-01-05,33,ON,N/K,OFF,318.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,14.7,22.3,27.2,28.7,29.8,30.8,31.6,32.4,33.2,34.0,34.8,35.7,36.6,37.5,38.5,39.4,40.4,41.4,42.5,43.5,44.6,45.7,46.9,48.0,49.2,50.5,51.7,53.0,54.4,55.7,57.1,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Semperian,42.5%,NO,Innisfree,42.5%,NO,John Laing,15.0%,NO,,,,,,,,,,InspirED Education (South Lanarkshire) PLC,5502166,"St Martin's House, 1 Gresham Street, London, EC2V 7BX"
612,Balfron Schools,SCOTTISH GOVERNMENT (GROUP),Stirling,Schools (Non-BSF),Stirling,SCOTLAND,InOperation,1998-04-01,1999-05-01,2000-03-01,2001-08-15,2001-08-15,25,ON,N/K,OFF,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,2.5,2.6,2.6,2.7,2.8,2.8,2.9,3.0,3.0,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.6,3.7,3.8,4.0,4.1,4.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SGP Ltd,100.0%,NO,,,,,,,,,,,,,,,,Balfron Schools Services Ltd,SC202904,"50 Lothian Road, Festival Square, Edinburgh, EH3 9WJ"
