1,12/06/1998,Serco Group plc,"Defence Helicopter Flying School (FBS Limited, operational contract – 47 helicopters and site services)",1,01/12/1996,FR Aviation Ltd and Bristow Helicopter Group,33,3.4 plus net liabilities ,4.6,1.58,179.3,Serco AR 1998 p39,Serco Press 12/06/1998,
181,13/11/2008,Amec plc,A1 Darrington-Dishforth,,25/02/2003,Preemptive rights by other shareholders - Land Securities Trillium,see above,see above,see above,see above,see above,see above,see above,see above
182,25/11/2008,BAM PPP,Crawley schools plus 3 other projects,4,16/01/2004,DIF Infrastructure Fund in joint venture with BAM,25,n/a,9,n/a,n/a,BAM PPP Press 25/11/2008,,
183,01/12/2008,"Dawn construction, FES Ltd and Pacific Partners LLP","Ayrshire & Arran Acute Hospitals NHS Trust, Crosshouse Hospital Maternity Unit (Ayrshire Hospitals Ltd)",1,06/10/2004,George Street Capital Ltd,100,n/a,n/a,n/a,n/a,PPPFocus 16/12/2008,,
184,09/01/2009,Siemens plc,Barnet General Hospital,1,12/02/1999,HICL Infrastructure Company,30,2.7,n/a,9.92,n/a,HICL RNS 09/01/2009,HICL Results 28/05/2009,
185,14/02/2009,Amey (Ferrovial),Northern Ireland Roads Package 2,10,14/12/2007,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,25,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Dumfries & Galloway Schools,,08/01/2008,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,42.5,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Renfrewshire Schools,,22/03/2005,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,17.5,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Integrated Bradford BSF 1 schools,,18/12/2006,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,16.6,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Belfast Schools Phase 1,,10/03/2008,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,50,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Manchester Street Lighting,,01/03/2004,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,25,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Wakefield Street Lighting,,01/12/2003,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,25,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Norfolk Street Lightng,,02/11/2007,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,50,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Bristol Courts,,28/08/2004,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,10,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
185,14/02/2009,Amey (Ferrovial),Ministry of Defence C Vehicles Capability,,15/06/2005,Dutch Infrastructure Fund (DIF) 50/50 joint venture with Amey Ventures PFI investment ,25,n/a,n/a,n/a,n/a,Reuters Press: Ferrovial SA 10/02/2010,DIF Press 14/12/2009,Amey UK plc AR 2009 p67
186,15/02/2009,Accent Group,Leeds Mental Health – 7 facilities,1,09/06/2008,Equitix Ltd,100,34,n/a,n/a,n/a,Equitix News 15/02/2009,,
187,01/03/2009,Taylor Woodrow Construction (Vinci),St Helens & Knowsley Hospital,1,06/06/2006,Innisfree Ltd,30,n/a,n/a,n/a,n/a,PartnershipsUK Database,,
188,18/03/2009,Galliford Try plc,"Portsmouth, Ministry of Defence housing project (148 units) (Tricomm Housing Portsmouth Ltd)",1,28/10/2005,"DIF Infrastructure Fund, Holland",50,5.2,4.2,3.42,122.8,Galliford Try AR 2008 p66 ,Galliford Try AR 2009 p65,DIF Press 18/03/2009
189,18/03/2009,Royal Bank of Scotland ,"1,600 student accommodation, University of Hertfordshire",1,n/a,"DIF Infrastructure Fund, Holland",50,n/a,n/a,n/a,n/a,DIF Press 18/03/2009,,
190,18/03/2009,Barclays European Infrastructure Fund  ,"Portsmouth, Ministry of Defence housing project (148 units) (Tricomm Housing Portsmouth Ltd)",1,28/10/2005,"DIF Infrastructure Fund, Holland",50,n/a,n/a,3.33,n/a,DIF Press 18/03/2009,,
191,16/04/2009,Interserve plc,Sheffield Schools PPP (6 schools),1,26/05/2000,Innisfree Ltd,50,7.2,3.4,8.92,10,Interserve RNS 16/04/2009,,
192,28/05/2009,Bouygues UK and Ecovert FM,Barnet General Hospital,1,12/02/1999,HICL Infrastructure Company,19,1.7,n/a,10,n/a,HICL Results 28/05/2009,Reuters HICL 11/02/2009,
193,26/06/2009,Carillion plc ,Renfrewshire Schools: 10 primary & secondary – (RSP (Holdings) Limited),1,22/03/2005,HICL Infrastructure Company,30,6.8,1.2,4.7,0.26,"Carillion plc AR 2009 p102, ",HICL RNS 26/06/2009,
194,26/06/2009,Carillion plc ,Exeter Schools,1,26/03/2004,Innisfree Ltd PFI Secondary Fund,50,7,see above,see above,see above,Carillion plc AR 2009 p102,Carillion plc AR 2009 p16,
195,26/06/2009,Carillion plc ,Allenby Connaught PPP project and ,2,06/04/2006,Innisfree Ltd PFI Secondary Fund,32.5,86.9,see above,see above,see above,Project Finance Dec 2009,,
195,26/06/2009,Carillion plc ,"New Accommodation Project, Cheltenham",,22/06/2000,Innisfree Ltd PFI Secondary Fund,20,see above,see above,see above,see above,Carillion RNS 07/12/2009,,
196,01/07/2009,Kelda Water Services (Saltaire Group),"Aberdeen Wastewater, Scotland",1,01/05/2000,Balfour Beatty plc,5,0.5,n/a,n/a,n/a,Balfour Beatty AR 2009 p68,,
197,09/07/2009,Galliford Try plc,Highland Schools 2 (Alpha Schools Highland (Holdings) Limited),1,29/03/2006,HICL Infrastructure Company,50,16.5,4.4,3.33,10.9,"Galliford Try AR 2008 p66, Galliford Try AR 2009 p65","HICLAR 2010 p9, HICL RNS 09/07/2009",Infrastructure Investor 9/7/2009
198,08/09/2009,Telereal Trillium,Kent County Council Building Schools for the Future,1,24/10/2008,Kier Group,64,4.2,n/a,n/a,n/a,Kier Group RNS 08/09/2009,Education Investor 09/09/2009,Project Finance Sept 2009
199,01/10/2009,Parsons Brinkerhoff,Newcastle BSF Schools,1,05/07/2007,Balfour Beatty plc (part of 383.0 acquisition of Parsons in Oct-09),20,2.5,n/a,n/a,n/a,Balfour Beatty AR 2009 p68,,
200,01/10/2009,Macob Construction,"Pembroke Dock Community School, Wales",1,02/06/2000,Equitix Ltd,100,1.9,n/a,n/a,n/a,Equitix News October 2009,,
201,19/11/2009,Parkwood Holdings plc,Bexley Leisure,5,01/07/2003,Equitix Ltd,n/a,6.5,5.6,5.53,112.5,Parkwood RN 19/11/2009,,
201,19/11/2009,Parkwood Holdings plc,Penwith DC Recreation West Leisure,,01/03/2004,Equitix Ltd,n/a,see above,see above,see above,see above,Parkwood AR 2009 p63,,
201,19/11/2009,Parkwood Holdings plc,Sefton – Crosby Leisure Centre ,,01/09/2001,Equitix Ltd,50,see above,see above,see above,see above,Equitix News December 2009,,
201,19/11/2009,Parkwood Holdings plc,Solihull Leisure Options Project ,,08/05/2006,Equitix Ltd,n/a,see above,see above,see above,see above,Equitix News December 2009,,
201,19/11/2009,Parkwood Holdings plc,Breckland Making Connections Leisure Project,,01/11/2005,Equitix Ltd,100,see above,see above,see above,see above,Equitix News December 2009,,
202,26/11/2009,Interserve plc,Dudley NHS Trust ,13,17/05/2001,Interserve plc Pension Scheme,n/a,61.5,33.2,7.15,16.4,Interserve Press 26/11/2009,,
202,26/11/2009,Interserve plc,St Genevieve’s School Belfast,,28/08/2000,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Southampton Schools,,01/10/2001,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,"Hattersley (Tameside) Schools,",,01/06/2002,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Tyrone-Omagh College,,07/09/2003,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Tyrone-Dungannon College,,07/09/2003,Interserve plc Pension Scheme,/na,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Cornwall Grouped Schools ll,,13/05/2004,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Telford & Wrekin Schools,,27/06/2005,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Defence Sixth Form College,,01/06/2003,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Armada-Devonport Fleet Accommodation Centre,,01/07/2004,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Cornwall Fire Stations,,31/03/2000,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,Portsmouth Social Services,,14/06/2001,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
202,26/11/2009,Interserve plc,"Health & Safety Laboratories, Buxton",,12/042002,Interserve plc Pension Scheme,n/a,see above,see above,see above,see above,Interserve AR 2009 p18,,
203,27/11/2009,Lend Lease Corporation,Queen’s Hospital Romford (Catalyst Healthcare (Romford) Holdings) Limited,1,15/01/2004,HICL Infrastructure Company,50,23.9,n/a,n/a,n/a,Lend Lease Corporation News 27/11/2009. ,HICL RNS 27/11/2009,
204,30/11/2009,John Laing (Henderson Global Investors),"M6, Scotland",1,01/04/1997,Innisfree Ltd,8.5,4.8,loss of 15.3 Laing accts show fair value as109.1 compared tosale price of 96.0,8.07,-1.7,"Laing AR 2009 p29, 42 and 96",,
205,30/11/2009,John Laing (Henderson Global Investors),Edinburgh Schools PPP1 and ,2,15/11/2001,John Laing Pension Fund,10,5.9,see above,see above,see above,Laing AR 2009 p97,,
205,30/11/2009,John Laing (Henderson Global Investors),Glasgow Schools Project 2002,,26/07/2000,John Laing Pension Fund,n/a,see above,see above,see above,see above,Partnerships UK Database,,
206,30/11/2009,John Laing (Henderson Global Investors),Cleveland & Durham Firearms Training Centre ,3,01/04/2000,HICL Infrastructure Company,22.9,8,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
206,30/11/2009,John Laing (Henderson Global Investors),Metropolitan Police Training Centre,,n/a,HICL Infrastructure Company,22.9,see above,see above,see above,see above,HICL RNS 30/11/2009,,
206,30/11/2009,John Laing (Henderson Global Investors),Greater Manchester Police projects,,n/a,HICL Infrastructure Company,22.9,77.3,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
207,30/11/2009,John Laing (Henderson Global Investors),Norfolk & Norwich Hospital,1,09/01/1998,HICL Infrastructure Company,50,see above,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
208,30/11/2009,John Laing (Henderson Global Investors),"Queen Elizabeth Hospital Greenwich, London",1,08/07/1998,Innisfree Ltd,22.5,see above,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
209,30/11/2009,John Laing (Henderson Global Investors),South Lanarkshire Schools,3,29/06/2006,Innisfree Ltd,"18.3, ",see above,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
209,30/11/2009,John Laing (Henderson Global Investors),East Dunbartonshire Schools,,10/08/2007,Innisfree Ltd,33.3,see above,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
209,30/11/2009,John Laing (Henderson Global Investors),Ministry of Defence Main Building,,05/05/2000,Innisfree Ltd,24,see above,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
210,30/11/2009,John Laing (Henderson Global Investors),"Barts & London NHS Trust, Redevelopment of Royal Hospital of St Barthomolomew and the Royal London Hospital",1,20/04/2006,Innisfree Ltd,12.5,see above,see above,see above,see above,"Laing AR 2009 p29, 42 and 96",,
211,01/12/2009,Costain Group plc,Shropshire County Council – Quality in Community Services Project,2,20/05/2005,Equitix Ltd,50,5.1,2,5.33,12.1,"Costain Group plc AR 2009 p38, and Costain Group plc AR 2008 p111",Equitix Capital Eurobond AR 2009,
211,01/12/2009,Costain Group plc,"Westview and Victoria House Integrated Care Centres, Kent County Council",,19/11/2003,Equitix Ltd,see above,see above,see above,see above,see above,see above,see above,
212,14/12/2009,BAM PPP,Crawley and 3 other local authority schools projects,4,16/01/2004,Dutch Infrastructure Fund,50,n/a,8,n/a,n/a,BAM PPP Press 14/12/2009,,
213,21/12/2009,Kier Group plc,"Waltham Forest Schools, London ",2,15/03/2004,Innisfree Ltd PFI Secondary Fund,50,7.3,4.2,6.87,19.7,Kier RNS 21/12/2009,,
213,21/12/2009,Kier Group plc,"Essex County Council, Tendring Schools",,11/10/2001,Innisfree Ltd PFI Secondary Fund,see above,see above,see above,see above,see above,see above,,
214,18/01/2010,Commonwealth Bank of Australia,"Barts & London NHS Trust, Redevelopment of Royal Hospital of St Barthomolomew and the Royal London Hospital",1,20/04/2006,"DIF Infrastructure Fund, Holland",12.5,n/a,n/a,3.75,n/a,DIF Press 18/1/2010,,
215,03/02/2010,n/a,Blackpool Street Lighting,1,18/12/2009,Equitix Ltd,n/a,n/a,n/a,0.17,n/a,Equitix News Feb-10,,
216,03/02/2010,Robertson Group Ltd,Easter Ross Primary Care Centre,16,30/06/2003,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),100,39.1,n/a,n/a,n/a,Robertson Group Press 3/2/2010,"Robertson Group, Capital Times briefing, 2010, ",
216,03/02/2010,Robertson Group Ltd,Chester le Street Community hospital,,30/05/2002,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),n/a,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,Clackmannanshire Community Health Services,,10/08/2007,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),100,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"Findlay House Care Unit, Edinburgh",,30/06/2002,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),50,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"Gartnavel Royal Hospital, Glasgow",,30/11/2005,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),100,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"County Community Hospital, Invergordon",,n/a,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),n/a,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,Midlothian Community Hospital,,09/03/2009,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),50,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"New Craigs Psychiatric Hospital, Inverness",,31/03/1999,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),n/a,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"St Georges Park Hospital, Morpeth",,10/05/2004,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),50,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"Whitehills Health & Community Care Centre, Forfar",,n/a,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),n/a,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"Newcastle and North Tyneside NHS LIFT 1, 2a, 2b and 2c",,n/a,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),n/a,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,Aberdeenshire Schools PPP2,,01/07/2004,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),50,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,Dundee Schools,,01/02/2007,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),50,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,Newcastle BSF1,,05/07/2007,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),30,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,Redcar & Cleveland Schools,,01/04/2005,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),50,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
216,03/02/2010,Robertson Group Ltd,"Forfar & Carnoustie Schools PPP, Angus",,25/11/2006,Elgin Infrastructure – joint venture between Robertson Group and with 3i Infrastructure (49.9%),100,see above,n/a,n/a,n/a,3i Infrastructure AR 2010 p3,,
217,04/03/2010,Balfour Beatty plc,Edinburgh Royal Infirmary ,2,21/08/1998,Barclays Integrated Infrastructure Fund. Waste project to Kelda Water Services,23.9,24.3,21,10.7,59.5,Balfour Beatty Press 04/03/2010 and 26/04/2010. ,,
217,04/03/2010,Balfour Beatty plc,Aberdeen Waste Water PPP,,01/05/2000,Barclays Integrated Infrastructure Fund. Waste project to Kelda Water Services,50,see above,see above,see above,see above,Balfour Beatty Press 04/03/2010 and 26/04/2010. ,,
218,06/04/2010,Kajima Partnerships,Newcastle City Library (Kajima Newcastle Library Holdings Limited),1,19/06/2007,HICL Infrastructure Company,50.0 (retains 50%),2.8,1.1,2.83,22.9,Kajima Press 06/04/2010,HICL RNS 06/04/2010,Kajima AR 2010 p10
219,14/06/2010,United Utilities Group plc,"Tay, Highland & Moray Wastewater projects, Scotland – Catchment Moray Holdings Ltd",3,16/12/1999,Veolia Water UK plc,"33.3, ",n/a- part of larger sale of assets,n/a,n/a,n/a,Unitied Utilities Press 14/06/2010,,
219,14/06/2010,United Utilities Group plc,Catchment Highland Holdings Ltd,,16/12/1996,Veolia Water UK plc,33.3,n/a- part of larger sale of assets,n/a,n/a,n/a,Veolia Water Press 14/06/2010,,
219,14/06/2010,United Utilities Group plc,Catchment Tay Holdings Ltd,,06/06/2001,Veolia Water UK plc,50,n/a- part of larger sale of assets,n/a,n/a,n/a,Veolia Water Press 14/06/2010,,
220,30/06/2010,Carillion plc,"Queen Alexandra Hospital, Portsmouth Hospitals NHS Trust",1,15/12/2005,HICL Infrastructure Company,50,31.3,16.3,4.5,24.1,Carillion RNS 30/06/2010,Carillion Half Year Results to 30/06/2010,
221,30/06/2010,Jarvis plc,"Colfox School Services Limited, Dorset",6,18/11/1997,Johnson Service Group plc,100,3.9,n/a,n/a,n/a,Johnson Service Group plc RN 30/6/2010,Johnson Service Group plc AR 2010 p4 and p89,
221,01/07/2010,Jarvis plc,"Cardinal Heenan School Services Limited, Leeds",,04/06/1999,Johnson Service Group plc,100,see above,n/a,n/a,n/a,Johnson Service Group plc RN 30/6/2011,Johnson Service Group plc AR 2010 p4 and p90,
221,02/07/2010,Jarvis plc,"Dundee Healthcare Services Limited, Scotland",,n/a,Johnson Service Group plc,100,see above,n/a,n/a,n/a,Johnson Service Group plc RN 30/6/2012,Johnson Service Group plc AR 2010 p4 and p91,
221,03/07/2010,Jarvis plc,"Barnhill School Services Limited, Hillingdon, London",,01/11/1998,Johnson Service Group plc,100,see above,n/a,n/a,n/a,Johnson Service Group plc RN 30/6/2013,Johnson Service Group plc AR 2010 p4 and p92,
221,04/07/2010,Jarvis plc,"Balfron Schools Services Limited, Stirlingshire, Scotland",,01/03/2000,Johnson Service Group plc,100,see above,n/a,n/a,n/a,Johnson Service Group plc RN 30/6/2014,Johnson Service Group plc AR 2010 p4 and p93,
221,05/07/2010,Jarvis plc,"East Ren Schools Services Limited, East Renfrewshire Schools PPP1, Scotland",,28/04/2000,Johnson Service Group plc,100,see above,n/a,n/a,n/a,Johnson Service Group plc RN 30/6/2015,Johnson Service Group plc AR 2010 p4 and p94,
222,01/07/2010,John Laing (Henderson Global Investors),Services Support (SEL) Ltd ,1,n/a,John Laing Pension Fund,25,6.4,n/a,n/a,n/a,John Laing AR 2010 p103,,
223,01/07/2010,Royal Bank of Scotland,"Queen Alexandra Hospital, Portsmouth Hospitals NHS Trust",1,15/12/2005,HICL Infrastructure Company,24.9,15.1,n/a,n/a,n/a,HICL RNS 01/07/2010,,
224,30/09/2010,Reliance Security Group,Sussex Custodial PFI,1,01/08/2001,HICL Infrastructure Company,7.5,1.1,n/a,n/a,n/a,HICL RNS 30/09/2010,,
225,30/09/2010,Shanks Group Plc,East London Waste Authority (ELWA)  ,2,23/12/2002,John Laing (Henderson Global Investors),80,24.6,3.7,6.79,2.6,Shanks RNS 30/09/2010,Shanks AR 2011 p50 and p108,
225,01/10/2010,Shanks Group Plc,Dumfries & Galloway Waste PFI,,26/11/2004,John Laing (Henderson Global Investors),80,see above,see above,see above,see above,Shanks RNS 30/09/2011,Shanks AR 2011 p50 and p109,
226,10/10/2010,John Laing (Henderson Global Investors),Newcastle upon Tyne Hospitals NHS Trust – Transforming Newcastle Hospitals. ,2,27/04/2005,Commonwealth Bank of Australia,25,27.5,n/a,n/a,n/a,John Laing AR 2010 p103,"(includes Orkdalsvegen AS (toll road operator, Norway)",
226,10/10/2010,John Laing (Henderson Global Investors),Equipe Regeneration Ltd (refurbishment and repairs contractor in PFI housing),,n/a,Rydon Maintenance,50,n/a,n/a,n/a,n/a,FM World 25/10/2010,,
227,18/10/2010,Royal Bank of Scotland,"Queen Alexandra Hospital, Portsmouth Hospitals NHS Trust",1,15/12/2005,HICL Infrastructure Company,15,13.4,n/a,4.83,n/a,HICL RNS 18/10/2010,,
228,21/10/2010,Infrastructure Investments (Portsmouth) Ltd,Oxford John Ratcliffe Hospital,1,13/12/2005,HICL Infrastructure Company,39.9,13.9,n/a,4.83,n/a,HICL RNS 21/10/2010,,
229,08/11/2010,Costain Group plc,"Kingston Hospital NHS Trust, ",6,23/11/2004,Costain Pension Scheme,40,22,11.2,3.8,27.3,Costain AR 2010 p16,,
229,08/11/2010,Costain Group plc,Derbyshire Mental Health,,09/10/2007,Costain Pension Scheme,50,see above,see above,see above,see above,Costain RNS 08/11/2010,,
229,08/11/2010,Costain Group plc,Leicester Adult Learning Disability Centre,,22/06/2007,Costain Pension Scheme,50,see above,see above,see above,see above,Costain RNS 08/11/2010,,
229,08/11/2010,Costain Group plc,South Holland Community Hospital,,05/05/2007,Costain Pension Scheme,50,see above,see above,see above,see above,Costain RNS 08/11/2010,,
229,08/11/2010,Costain Group plc,2 Schools and Buttershaw Business & Enterprise College Bradford,,18/12/2006,Costain Pension Scheme,29,see above,see above,see above,see above,Costain RNS 08/11/2010,,
229,08/11/2010,Costain Group plc,Lewisham Schools (Catford and Sedgehill),,13/12/2007,Costain Pension Scheme,40,see above,see above,see above,see above,Costain RNS 08/11/2010,,
230,30/11/2010,John Laing (Henderson Global Investors),"Brockley Social Housing, Lewisham ",16,04/06/2007,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,100,258.9 incl 3 over-seas assets,135.2,7.84,13.9,JLIF RNS 29/11/2010,,
230,30/11/2010,John Laing (Henderson Global Investors),Greater Manchester Police Stations ,,04/12/2002,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,27.1,see above,see above,see above,see above,"(data includes Abbotsford Hospital (80.0), Vancouver General Hospital, Canada (100.0), and E18 road Finland)",,
230,30/11/2010,John Laing (Henderson Global Investors),Met Police Training Centre Gravesend ,,20/04/2001,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,27.1,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),Glasgow Schools ,,26/07/2000,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,10,see above,see above,see above,see above,JLIF RNS 1/11/2010,,
230,30/11/2010,John Laing (Henderson Global Investors),South Lanarkshire Schools,,29/06/2006,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,15,see above,see above,see above,see above,JILF 30/11/2010,,
230,30/11/2010,John Laing (Henderson Global Investors),Manchester Street Lighting ,,31/03/2004,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,50,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),Wakefield Street Lighting ,,23/12/2003,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,50,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),Walsall Street Lighting,,03/02/2003,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,100,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),M40 Denham to Warwick ,,01/09/1996,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,50,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),"Sirhowy Way Road, Wales",,21/01/2004,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,100,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),Newham Hospital ,,27/01/2004,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,50,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),Queen Elizabeth Hospital Greenwich ,,08/07/1998,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,15,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),Kingston Hospital ,,23/11/2004,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,60,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),MoD Main Building,,05/05/2000,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,26,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
230,30/11/2010,John Laing (Henderson Global Investors),Avon & Somerset Courts,,23/08/2004,John Laing Infrastructure Fund –John Laing plc acquires 23.1% interest.,40,see above,see above,see above,see above,"John Laing plc AR 2010 p12,127",,
